nama_toko;rating;ulasan;kota;produk_terjual;produk_dijual;lama_bergabung;lama_balas_chat;voucher
BAJU BALI NAURA;5;7;Denpasar;1;100;1;3;0
Baju bali jegeg;4.7;752;Denpasar;1;635;5;6;0
Baju Bali Mukena Bali;4.9;1443;Denpasar;3;113;2;5;1
GROSIR BAJU BALI TERMURAH;4.7;47;Denpasar;1;80;1;1;1
Catwalk & Co.;5;25;Denpasar;1;40;2;0.5;1
Beachwear basic;4.9;31;Denpasar;1;116;6;8;1
applebabyid;4.9;90;Denpasar;1;103;1;0.25;1
Belanja Oleh Oleh Bali_;4.8;3331;Denpasar;4;288;7;0.3333333333;1
Nino_Shop85;4.9;119;Denpasar;1;132;2;0;0
Agung Outfit Bali;4.9;17;Denpasar;1;24;1;8;0
Dewata__Olshop;4.9;204;Denpasar;2;121;2;3;1
Saku Scrub;5;24;Denpasar;1;11;1;0.25;0
Dewisri_bordirbali;4.9;29;Denpasar;1;63;5;4;0
envier;4.9;612;Denpasar;2;72;5;1;0
cenil123;4.9;2100;Denpasar;4;50;3;7;1
Mallorys;4.8;2465;Denpasar;3;68;6;3;0
KANIGARA Medical Scrub;4.9;51;Denpasar;1;39;2;0.06666666667;0
Chrome Bali;5;198;Denpasar;2;46;4;1;0
BaliNais Kids Wear;4.7;126;Denpasar;2;79;3;3;1
machikobebe;4.9;50;Denpasar;1;49;2;2;0
Nayska Preloved;4.9;125;Denpasar;2;636;3;3;0
Sport Center;4.9;2041;Surabaya;1;36;4;2;1
Larusso;4.9;876;Surabaya;1;80;4;4;1
LR-2 Official Store ;4.9;280;Surabaya;1;80;1;4;1
Benhill;4.9;3474;Surabaya;4;96;2;1;1
Muscle Fit;4.8;1788;Surabaya;4;80;4;0.25;0
Walrus Indonesia ;4.9;1937;Surabaya;2;80;4;8;0
Hassenda Group;4.8;3779;Surabaya;3;87;2;8;1
Voila_id;4.9;1017;Surabaya;1;490;4;7;1
Revolt Industry;4.9;583;Surabaya;2;90;4;4;0
Triple Jeans Official ;4.9;978;Surabaya;2;413;3;3;1
Kasogishoes;4.9;1448;Surabaya;2;86;3;2;0
WILL-K LONDON;4.9;247;Surabaya;1;134;1;5;1
T0K0 SURYA;4.7;2263;Surabaya;4;35;4;7;1
Poolos;4.9;1113;Surabaya;4;8;1;8;1
rd_collections;4.8;889;Surabaya;2;197;3;3;1
kaos_surabaya;4.9;457;Surabaya;4;21;4;1;1
BigLab;4.9;4706;Surabaya;4;439;7;2;0
Luxuriouse Indonesia;5;36;Surabaya;1;101;5;5;1
Black Bridge Store;4.9;216;Surabaya;4;187;4;4;0
pottas_shop;4.8;75;Surabaya;2;2;2;4;0
Haza Collection;4.9;581;Surabaya;2;20;3;6;1
NOORE SPORT;4.9;704;Jabodetabek;3;168;4;8;1
Nzinga;4.7;1198;Jabodetabek;3;287;2;1;1
Coacce;4.8;468;Jabodetabek;2;270;4;5;0
Kepomp;4.8;3132;Jabodetabek;4;316;6;2;1
Diamond 8;4.8;67;Jabodetabek;1;51;1;8;0
Hello Zenina;4.8;302;Jabodetabek;1;130;2;2;0
XJB Store;4.9;332;Jabodetabek;2;293;2;2;1
Indian Village IDN;4.9;81;Jabodetabek;1;295;3;0.6833333333;0
Code Male Official;4.9;88;Jabodetabek;1;230;2;0.9166666667;1
Olenka Closet;4.9;798;Jabodetabek;2;143;2;0.5666666667;0
Thenblank;4.9;2560;Jabodetabek;3;456;4;1;1
Tatum Kuningan;4.9;52;Jabodetabek;1;171;2;6;0
Igore Sport;4.8;622;Jabodetabek;2;59;2;4;0
Ym De Fashion;4.9;208;Jabodetabek;1;83;1;4;0
Noaeveryday;4.9;524;Bandung;2;56;3;8;1
sipolos official shop;4.9;3520;Bandung;4;160;5;5;1
nomitees;4.9;1922;Bandung;3;240;2;0.966666667;1
good nite gwen;5;227;Bandung;1;160;5;6;1
mamibelle official shop;4.9;90;Bandung;1;80;2;7;0
nayara.official;4.8;1125;Bandung;1;480;3;2;0
hycaofficial;4.8;396;Bandung;1;80;2;1;1
muda official;4.9;219;Bandung;1;80;3;7;0
queenshop;4.8;801;Bandung;1;80;1;5;1
ODS store;5;236;Bandung;1;80;2;0.166666667;1
lbs kids;5;158;Bandung;1;320;2;5;1
indixscloth;4.9;459;Bandung;1;80;2;5;0
atwell apparel;4.9;679;Bandung;1;160;2;7;0
mardhasop;4.8;239;Bandung;1;80;0;0.066666667;1
rassa kebaya;5;44;Bandung;1;80;2;0.55;1
imanibutik;4.7;395;Bandung;1;320;1;10;1
coop design;4.9;4436;Bandung;4;320;3;6;1
ARK shop99;4.8;408;Semarang;2;41;2;6;1
Wr Kemeja;4.7;2012;Semarang;3;73;6;7;1
dsply;4.7;824;Semarang;2;146;1;6;1
moslemepic;4.9;1393;Yogyakarta;3;39;1;4;1
Men Style BIG JUMBO SIZE;4.8;772;Semarang;2;25;6;5;1
Ozzy Clothing;4.9;343;Yogyakarta;1;13;5;3;1
Wear Kuruu;5;1466;Semarang;2;159;3;5;1
Kaos Jogja Capung Tshirt;4.9;47;Yogyakarta;1;30;1;3;0
kaoskeren_store;4.9;109;Semarang;1;215;1;8;1
samiajishop;4.9;112;Semarang;1;77;2;1;1
Kaosan id;4.9;694;Semarang;2;487;5;7;1
Kultur at Home;5;2192;Semarang;4;28;1;2;1
TokLeri;4.9;265;Semarang;2;32;5;3;0
Molay;4.9;1040;Yogyakarta;2;110;4;2;0
highestworld;4.9;1658;Semarang;1;407;3;0.933333;1
Tsaliya Hijab;4.7;184;Semarang;2;23;5;4;1
kaos only;4.9;175;Semarang;1;433;2;2;1
Zafran-Cloth;4.9;937;Yogyakarta;2;46;5;1;1
SajadStore;4.8;147;Semarang;1;129;2;0.15;1
Lawas Pantas;4.9;588;Yogyakarta;1;31;6;8;0
